catchment,candidate_resolution_m,n_months,correlation,correlation_status,mean_absolute_difference,max_absolute_difference,normalized_mae,amplitude_bias,regime_match,route_match,event_count_delta,longest_low_spell_delta,peak_within_one_month_fraction,trough_within_one_month_fraction
daly_river_nt,60,252,0.9998796489734252,ok,0.010489537371563802,0.22608733915307777,0.002014428276142363,-0.009473561648204676,True,True,0,0,1.0,1.0
daly_river_nt,90,252,0.9996191714954167,ok,0.021666824815895526,0.4002509913812302,0.004160933224918394,-0.009671495552319165,True,True,1,-1,1.0,1.0
daly_river_nt,300,252,0.9955432897073433,ok,0.07826310173982112,1.4402720495892876,0.01502977677077465,-0.08464842708133613,True,False,2,-3,0.9047619047619048,0.7619047619047619
fitzroy_river_wa,60,252,0.9998486463422065,ok,0.005480290132785594,0.04451287669260484,0.0014698997924155832,-0.04261632249357339,True,True,0,0,1.0,1.0
fitzroy_river_wa,90,252,0.9993993465920491,ok,0.010913143141585063,0.08429056546072866,0.0029270762039497688,-0.0878183240104855,True,True,0,-1,1.0,1.0
fitzroy_river_wa,300,252,0.9906753999302271,ok,0.038791308673556506,0.3669152072491474,0.01040443757268869,-0.3749179988552185,True,False,-1,-3,1.0,0.6666666666666666
gilbert_river_qld,60,252,0.9997046069888932,ok,0.02522996198408521,0.20818370146997367,0.0030430867089022238,-0.05668734442126855,True,True,-1,-3,1.0,1.0
gilbert_river_qld,90,252,0.9988407431867659,ok,0.04834886183955425,0.4000900366925366,0.005831549764018882,-0.10788527824483385,True,True,-1,-4,1.0,1.0
gilbert_river_qld,300,252,0.9808302610764698,ok,0.1778112912196655,1.6141104855573207,0.02144653160177664,-0.3334947338360452,True,True,-2,-6,0.9523809523809523,0.9047619047619048
lachlan_river_nsw,60,252,0.9996762752226318,ok,0.014500088634249146,0.11417882182207895,0.003714733223714533,0.012516592001498128,True,True,0,0,1.0,1.0
lachlan_river_nsw,90,252,0.9990618753259015,ok,0.023979902140563458,0.2216322546504217,0.006143337563645664,0.021209317587159937,True,True,0,0,1.0,1.0
lachlan_river_nsw,300,252,0.9937536136569162,ok,0.07741922388420033,0.6625556576323691,0.0198337934595477,0.008810924575450074,True,True,0,1,1.0,1.0
moonie_river_qld_nsw,60,252,0.9993006501633852,ok,0.01582686279335071,0.062404989501714414,0.015177282839318294,-0.017749257447973288,True,True,-1,0,1.0,1.0
moonie_river_qld_nsw,90,252,0.9974068188914919,ok,0.026530489025699655,0.11023053054067194,0.025441601476297773,-0.036878292013795555,True,True,-1,1,1.0,1.0
moonie_river_qld_nsw,300,252,0.9679797883188248,ok,0.08172026789375825,0.3584273579669953,0.07836623313936295,-0.2066237118890722,True,True,-3,5,1.0,1.0
